,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,channelTitle,subscriberCount,videoURL
10,UCSKgOW8Pg_eZymYJyJc432g,LPZMh8Q3n0Q,COVID-19 News Update: koronaavaayrs vaiksiin pr PM Modi kaa ailaan smet ruus kii COVID-19 Vaccine kaa Update,2020-08-15T14:28:50Z,929716,5689,992,204,0,295,Dainik Jagran,2400000,https://www.youtube.com/watch?v=LPZMh8Q3n0Q
11,UCJKCDhXCCb3NyGW4nRDjTdQ,TVVBZ1TxShU,"Ban tin toi 14/8: VN: 18 ca moi, 2 ca Covid-19 o HN tro nang; TQ thieu hut gan 10 trieu tan ngu coc",2020-08-14T12:24:19Z,934351,5219,740,936,0,965,KHỎE TỰ NHIÊN,1250000,https://www.youtube.com/watch?v=TVVBZ1TxShU
12,UCLXo7UDZvByw2ixzpQCufnA,r2fxJI_cP58,The risky way to speed up a coronavirus vaccine,2020-08-12T12:00:13Z,913727,29594,815,2643,0,553,Vox,8580000,https://www.youtube.com/watch?v=r2fxJI_cP58
13,UCJKCDhXCCb3NyGW4nRDjTdQ,c3_vsBrUbkE,"Ban tin toi 16/8: Covid-19 tai bung phat o Quang Dong, Ha Noi khuyen cao nguoi dan khong ra khoi nha",2020-08-16T12:31:39Z,767086,5599,631,678,0,867,KHỎE TỰ NHIÊN,1250000,https://www.youtube.com/watch?v=c3_vsBrUbkE
14,UCUmRGR3a-g13O6pG927KQmg,bAg4dthw2FY,Dich covid-19 Hom nay tai Viet Nam  Ban tin corona 14/8 them 6 ca nhiem moi covid-19 Tinh hinh dich,2020-08-14T00:54:13Z,736937,1305,404,121,0,720,TIN TỨC 24H ONLINE,1910000,https://www.youtube.com/watch?v=bAg4dthw2FY
15,UChDKyKQ59fYz3JO2fl0Z6sg,XcslNntHnKM,"When We Get The 1st Coronavirus Vaccine, How Well Will It Work? | Sunday TODAY",2020-08-16T14:56:10Z,699743,3809,2511,4222,0,277,TODAY,2420000,https://www.youtube.com/watch?v=XcslNntHnKM
16,UCIvaYmXn910QMdemBG3v1pQ,q9IG2TLPWW4,DNA: Corona Vaccine pr Russia ke daave kaa DNA Test | COVID-19 Vaccine | Vladimir Putin | Vaccine News,2020-08-11T18:17:54Z,693002,12600,1068,658,0,394,Zee News,15300000,https://www.youtube.com/watch?v=q9IG2TLPWW4
17,UCL9-pEHNBs3N4r2bMoXdLJA,QEu0t0cvOfQ,"Tin tuc dich do virus Corona (Covid-19) sang 15/8: Them 1 ca mac moi, 1 ca tu vong | VTC Now",2020-08-15T01:18:44Z,672618,915,277,18,0,265,VTC NOW,1690000,https://www.youtube.com/watch?v=QEu0t0cvOfQ
18,UCeY0bbntWzzVIaj2z3QigXg,zvobQrFxE-0,Coronavirus: U.S. Surpasses Grim Record For Single-Day Death Toll | NBC Nightly News,2020-08-13T23:55:46Z,579951,2531,3307,3117,0,137,NBC News,3720000,https://www.youtube.com/watch?v=zvobQrFxE-0
19,UCmBT5CqUxf3-K5_IU9tVtBg,vdyPi1hL4TI,Tin tuc dich Covid-19 moi nhat: Nghen ngao canh dua tang tai tam dich COVID-19 o Quang Nam- VNEWS,2020-08-12T09:29:53Z,585695,1184,372,76,0,844,VNEWS - TRUYỀN HÌNH THÔNG TẤN,297000,https://www.youtube.com/watch?v=vdyPi1hL4TI
20,UCUmRGR3a-g13O6pG927KQmg,W5ePrJQmMDo,Tin tuc Covid-19 moi nhat | Tinh hinh dich corona hom nay 15/8 | Dich covid hom nay tai Viet Nam,2020-08-14T22:45:10Z,542777,1134,283,154,0,931,TIN TỨC 24H ONLINE,1910000,https://www.youtube.com/watch?v=W5ePrJQmMDo
21,UCQ7d2lO-qGUy6wwM4n3KHfw,Ew11Hya7_fA,CA NUOC KHONG UA EM (COVID) -  AtHomeVideo,2020-08-14T12:58:09Z,546665,44087,164,2215,0,174,Phan Mạnh Quỳnh Official,1180000,https://www.youtube.com/watch?v=Ew11Hya7_fA
22,UCBi2mrWuNuyYy4gbM6fU18Q,tQJsPu2uxuM,"CDC predicts up to 200,000 coronavirus deaths by Labor Day",2020-08-14T10:01:34Z,533617,2694,2563,5994,0,203,ABC News,9590000,https://www.youtube.com/watch?v=tQJsPu2uxuM
23,UCUmRGR3a-g13O6pG927KQmg,bsFPr6-ls40,Dich covid-19 Hom nay tai Viet Nam  Ban tin corona 17/8 them 2 ca nhiem moi covid-19 Tinh hinh dich,2020-08-17T00:08:56Z,526646,776,228,46,0,839,TIN TỨC 24H ONLINE,1910000,https://www.youtube.com/watch?v=bsFPr6-ls40
24,UCL9-pEHNBs3N4r2bMoXdLJA,keFmt8cyPW4,Hai Duong ap dung tinh trang khan cap phong chong dich Covid-19 | VTC Now,2020-08-14T10:35:31Z,522760,1113,333,107,0,774,VTC NOW,1690000,https://www.youtube.com/watch?v=keFmt8cyPW4
25,UCqYw-CTd1dU2yGI71sEyqNw,PsVZyd8Raso,"24 Oras: Nurse na may COVID-19, sa bangketa tumuloy matapos palayasin sa kanyang tinutuluyan",2020-08-11T13:41:24Z,558837,5197,296,2256,0,201,GMA News,7100000,https://www.youtube.com/watch?v=PsVZyd8Raso
26,UCIPbzkl1kZ_9Gyuph_FGvzg,nmKKuydSPh8,Positive au Covid-19 ; faites attention a vous s&#39;il vous plait !,2020-08-16T08:15:28Z,543548,41538,740,3849,0,1636,Juju Fitcats,2230000,https://www.youtube.com/watch?v=nmKKuydSPh8
27,UCB_l9j53BhS-UNxXO4y282A,pCtLMJ5LELY,Indians &amp; Covid | Funcho,2020-08-15T13:39:51Z,589022,52230,1722,4825,0,632,Funcho,1500000,https://www.youtube.com/watch?v=pCtLMJ5LELY
28,UCeY0bbntWzzVIaj2z3QigXg,Do5cyd41s2U,Parties At Reopened Colleges Increase Fears Of Coronavirus Outbreaks | NBC Nightly News,2020-08-16T23:47:05Z,494554,2490,2728,4440,0,162,NBC News,3720000,https://www.youtube.com/watch?v=Do5cyd41s2U
29,UCmBT5CqUxf3-K5_IU9tVtBg,qujJYJZ2GE0,"Tin tuc dich Covid-19 moi nhat: Co xu tu hinh ke tiep tay, dua nguoi nhiem dich vao Viet Nam khong?",2020-08-16T22:00:11Z,487941,1340,334,791,0,1640,VNEWS - TRUYỀN HÌNH THÔNG TẤN,297000,https://www.youtube.com/watch?v=qujJYJZ2GE0
